AVG_time,AVG,AVGSDI_time,AVGSDI,STD_time,STD,STDSDI_time,STDSDI,CNT_time,CNT,CNTSDI_time,CNTSDI,OUT_time,OUT,OUTSDI_time,OUTSDI
11/29/2021 21:43:30,NaN,11/29/2021 21:49:30,0.002,11/29/2021 21:49:30,NaN,11/29/2021 21:49:30,0.000,11/29/2021 21:49:30,0,11/29/2021 21:49:30,37,11/29/2021 21:49:30,0,11/29/2021 21:49:30,0
11/29/2021 21:49:30,NaN,11/29/2021 21:55:30,0.002,11/29/2021 21:55:30,NaN,11/29/2021 21:55:30,0.000,11/29/2021 21:55:30,0,11/29/2021 21:55:30,37,11/29/2021 21:55:30,0,11/29/2021 21:55:30,0
11/29/2021 21:55:30,NaN,11/29/2021 22:01:30,0.002,11/29/2021 22:01:30,NaN,11/29/2021 22:01:30,0.000,11/29/2021 22:01:30,0,11/29/2021 22:01:30,37,11/29/2021 22:01:30,0,11/29/2021 22:01:30,0
11/29/2021 22:01:30,NaN,11/29/2021 22:07:30,0.002,11/29/2021 22:07:30,NaN,11/29/2021 22:07:30,0.000,11/29/2021 22:07:30,0,11/29/2021 22:07:30,37,11/29/2021 22:07:30,0,11/29/2021 22:07:30,0
11/29/2021 22:07:30,NaN,11/29/2021 22:13:30,0.002,11/29/2021 22:13:30,NaN,11/29/2021 22:13:30,0.000,11/29/2021 22:13:30,0,11/29/2021 22:13:30,37,11/29/2021 22:13:30,0,11/29/2021 22:13:30,0
11/29/2021 22:13:30,NaN,11/29/2021 22:19:30,0.002,11/29/2021 22:19:30,NaN,11/29/2021 22:19:30,0.000,11/29/2021 22:19:30,0,11/29/2021 22:19:30,37,11/29/2021 22:19:30,0,11/29/2021 22:19:30,0
11/29/2021 22:19:30,NaN,11/29/2021 22:25:30,0.002,11/29/2021 22:25:30,NaN,11/29/2021 22:25:30,0.000,11/29/2021 22:25:30,0,11/29/2021 22:25:30,37,11/29/2021 22:25:30,0,11/29/2021 22:25:30,0
11/29/2021 22:25:30,NaN,11/29/2021 22:31:30,0.002,11/29/2021 22:31:30,NaN,11/29/2021 22:31:30,0.000,11/29/2021 22:31:30,0,11/29/2021 22:31:30,37,11/29/2021 22:31:30,0,11/29/2021 22:31:30,0
11/29/2021 22:31:30,NaN,11/29/2021 22:37:30,0.002,11/29/2021 22:37:30,NaN,11/29/2021 22:37:30,0.000,11/29/2021 22:37:30,0,11/29/2021 22:37:30,37,11/29/2021 22:37:30,0,11/29/2021 22:37:30,0
11/29/2021 22:37:30,NaN,11/29/2021 22:43:30,0.002,11/29/2021 22:43:30,NaN,11/29/2021 22:43:30,0.000,11/29/2021 22:43:30,0,11/29/2021 22:43:30,37,11/29/2021 22:43:30,0,11/29/2021 22:43:30,0
11/29/2021 22:43:30,NaN,11/29/2021 22:49:30,0.002,11/29/2021 22:49:30,NaN,11/29/2021 22:49:30,0.000,11/29/2021 22:49:30,0,11/29/2021 22:49:30,37,11/29/2021 22:49:30,0,11/29/2021 22:49:30,0
